      0: global: energy port connected. master: system.energy_mgmt, slave: system.cpu
      0: system.energy_mgmt: Energy Management module initialized!
      0: system.energy_mgmt: Energy profile: ./profile/energy_prof (Time unit: 1000000 ticks)
237000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1801.01
238000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1808.59
239000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1816.16
240000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1823.73
241000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1831.3
242000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1838.87
243000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1846.44
244000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1854.01
245000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1861.59
246000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1869.16
247000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1876.73
248000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1884.3
249000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1891.87
250000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1899.44
251000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1907.01
252000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1914.59
253000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1922.16
254000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1929.73
255000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1937.3
256000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1944.87
257000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1952.44
258000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1960.02
259000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1967.59
260000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1975.16
261000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1982.73
262000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1990.3
263000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1997.87
264000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2005.44
265000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2013.02
266000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2020.59
267000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 2028.16
